N063.59.31.655 W022.37.11.847
                                         N063.58.22.845 W022.35.35.805
                                         N063.58.24.062 W022.35.34.725
                                         N063.58.25.479 W022.35.33.560
                                         N063.58.27.072 W022.35.32.272
                                         N063.58.28.661 W022.35.30.895
                                         N063.58.30.429 W022.35.29.307
                                         N063.58.32.589 W022.35.27.484
                                         N063.58.34.365 W022.35.25.833
                                         N063.58.36.351 W022.35.23.997
                                         N063.58.22.725 W022.35.56.847
                                         N063.58.26.078 W022.35.53.733
                                         N063.58.26.595 W022.35.53.495
                                         N063.58.31.027 W022.35.53.430
                                         N063.58.31.252 W022.35.53.287
                                         N063.58.31.401 W022.35.52.999
                                         N063.58.31.504 W022.35.52.689
                                         N063.58.31.559 W022.35.52.252
                                         N063.58.30.393 W022.35.53.158
                                         N063.58.29.268 W022.35.53.158
                                         N063.58.28.112 W022.35.53.158
                                         N063.58.26.992 W022.35.53.158
                                         N063.58.25.889 W022.35.53.562
                                         N063.58.25.277 W022.35.54.044
                                         N063.58.24.210 W022.35.55.124
                                         N063.58.21.761 W022.35.51.618
                                         N063.58.25.614 W022.35.47.999
                                         N063.58.25.776 W022.35.47.897
                                         N063.58.31.284 W022.35.47.897
                                         N063.58.31.518 W022.35.47.708
                                         N063.58.31.725 W022.35.47.415
                                         N063.58.31.802 W022.35.46.808
                                         N063.58.31.802 W022.35.43.402
                                         N063.58.31.712 W022.35.42.923
                                         N063.58.31.581 W022.35.42.582
                                         N063.58.31.446 W022.35.42.416
                                         N063.58.31.240 W022.35.42.326
                                         N063.58.30.218 W022.35.42.263
                                         N063.58.28.913 W022.35.42.276
                                         N063.58.28.787 W022.35.42.468
                                         N063.58.28.670 W022.35.42.721
                                         N063.58.28.647 W022.35.43.202
                                         N063.58.30.218 W022.35.42.263
                                         N063.58.29.987 W022.35.42.416
                                         N063.58.29.831 W022.35.42.632
                                         N063.58.29.709 W022.35.42.911
                                         N063.58.31.240 W022.35.42.326
                                         N063.58.31.041 W022.35.42.455
                                         N063.58.30.875 W022.35.42.744
                                         N063.58.30.762 W022.35.43.239
                                         N063.58.49.203 W022.35.19.619
                                         N063.58.44.459 W022.35.24.101
                                         N063.58.43.988 W022.35.24.518
                                         N063.58.43.849 W022.35.24.578
                                         N063.58.43.745 W022.35.24.506
                                         N063.58.43.604 W022.35.24.380
                                         N063.58.43.475 W022.35.24.101
                                         N063.58.43.849 W022.35.24.578
                                         N063.58.41.139 W022.35.27.256
                                         N063.58.40.631 W022.35.26.945
                                         N063.58.40.409 W022.35.26.715
                                         N063.58.40.208 W022.35.26.391
                                         N063.58.40.028 W022.35.26.049
                                         N063.58.39.902 W022.35.25.622
                                         N063.58.46.961 W022.35.17.000
                                         N063.58.47.259 W022.35.06.875
                                         N063.58.47.534 W022.35.06.443
                                         N063.58.47.835 W022.35.06.164
                                         N063.58.51.035 W022.35.06.096
                                         N063.58.51.449 W022.35.06.317
                                         N063.58.51.781 W022.35.06.681
                                         N063.58.52.079 W022.35.07.406
                                         N063.58.52.317 W022.35.08.671
                                         N063.58.49.545 W022.35.19.380
                                         N063.58.52.483 W022.35.18.237
                                         N063.58.52.483 W022.35.14.354
                                         N063.58.52.483 W022.35.10.483
                                         N063.58.52.618 W022.35.06.654
                                         N063.58.52.317 W022.35.08.671
                                         N063.58.52.353 W022.35.07.419
                                         N063.58.52.465 W022.35.06.834
                                         N063.58.52.597 W022.35.06.416
                                         N063.58.53.838 W022.35.03.936
                                         N063.58.54.045 W022.35.03.242
                                         N063.58.54.113 W022.35.02.406
                                         N063.58.54.113 W022.34.54.121
                                         N063.58.53.973 W022.34.53.479
                                         N063.58.53.852 W022.34.52.896
                                         N063.58.53.685 W022.34.52.464
                                         N063.58.53.465 W022.34.52.156
                                         N063.58.53.123 W022.34.51.907
                                         N063.58.52.763 W022.34.51.877
                                         N063.58.52.470 W022.34.52.074
                                         N063.58.51.512 W022.34.53.383
                                         N063.58.51.335 W022.34.53.550
                                         N063.58.51.138 W022.34.53.662
                                         N063.58.47.142 W022.34.53.730
                                         N063.58.47.039 W022.34.53.536
                                         N063.58.46.961 W022.34.53.325
                                         N063.58.46.876 W022.34.52.951
                                         N063.58.48.267 W022.34.53.438
                                         N063.58.49.576 W022.34.53.438
                                         N063.58.50.877 W022.34.53.438
                                         N063.59.19.397 W022.36.34.122
                                         N063.59.19.152 W022.36.34.459
                                         N063.59.18.993 W022.36.34.831
                                         N063.59.18.822 W022.36.35.309
                                         N063.59.18.737 W022.36.35.918
                                         N063.59.18.725 W022.36.36.300
                                         N063.59.18.709 W022.36.35.895
                                         N063.59.18.621 W022.36.35.398
                                         N063.59.18.512 W022.36.34.957
                                         N063.59.18.322 W022.36.34.522
                                         N063.59.18.062 W022.36.34.140
                                         N063.59.17.987 W022.36.34.117
                                         N063.59.18.057 W022.36.34.121
                                         N063.59.18.326 W022.36.34.521
                                         N063.59.18.512 W022.36.34.953
                                         N063.59.18.619 W022.36.35.389
                                         N063.59.18.710 W022.36.35.892
                                         N063.59.18.723 W022.36.36.307
                                         N063.59.18.728 W022.36.37.680
                                         N063.59.18.797 W022.36.57.818
                                         N063.59.18.727 W022.37.42.907
                                         N063.59.18.763 W022.37.43.256
                                         N063.59.18.826 W022.37.43.556
                                         N063.59.18.938 W022.37.43.785
                                         N063.59.19.064 W022.37.44.019
                                         N063.59.19.187 W022.37.44.231
                                         N063.59.19.314 W022.37.44.388
                                         N063.59.28.380 W022.37.37.962
                                         N063.59.23.525 W022.37.41.333
                                         N063.59.21.972 W022.37.42.422
                                         N063.59.21.329 W022.37.42.848
                                         N063.59.19.430 W022.37.44.392
                                         N063.59.19.269 W022.37.44.582
                                         N063.59.19.106 W022.37.44.807
                                         N063.59.18.971 W022.37.45.126
                                         N063.59.18.887 W022.37.45.388
                                         N063.59.18.738 W022.37.46.254
                                         N063.59.18.741 W022.37.48.564
                                         N063.59.18.715 W022.38.17.847
                                         N063.59.18.756 W022.38.33.639
                                         N063.59.18.728 W022.39.00.672
                                         N063.59.18.692 W022.39.14.132
                                         N063.59.18.651 W022.39.14.726
                                         N063.59.18.479 W022.39.15.504
                                         N063.59.18.287 W022.39.16.143
                                         N063.59.18.012 W022.39.16.584
                                         N063.59.17.804 W022.39.16.841
                                         N063.59.17.507 W022.39.17.045
                                         N063.59.17.210 W022.39.17.081
                                         N063.59.12.239 W022.39.17.084
                                         N063.59.07.013 W022.39.17.061
                                         N063.59.06.833 W022.39.16.988
                                         N063.59.06.576 W022.39.16.797
                                         N063.59.06.410 W022.39.16.498
                                         N063.59.06.229 W022.39.15.946
                                         N063.59.06.138 W022.39.15.473
                                         N063.59.28.769 W022.36.34.138
                                         N063.59.26.876 W022.36.34.129
                                         N063.59.23.972 W022.36.34.117
                                         N063.59.22.438 W022.36.34.122
                                         N063.59.22.261 W022.36.33.973
                                         N063.59.22.078 W022.36.33.721
                                         N063.59.21.665 W022.36.32.983
                                         N063.59.21.354 W022.36.32.285
                                         N063.59.20.660 W022.36.30.700
                                         N063.59.18.268 W022.36.25.217
                                         N063.59.16.248 W022.36.20.616
                                         N063.59.15.922 W022.36.20.047
                                         N063.59.15.665 W022.36.19.839
                                         N063.59.15.323 W022.36.19.780
                                         N063.59.14.594 W022.36.19.786
                                         N063.59.30.153 W022.36.36.785
                                         N063.59.30.104 W022.36.36.420
                                         N063.59.30.027 W022.36.36.030
                                         N063.59.29.939 W022.36.35.690
                                         N063.59.29.815 W022.36.35.313
                                         N063.59.29.649 W022.36.34.931
                                         N063.59.29.411 W022.36.34.543
