N063.59.31.655 W022.37.11.847
                                         N063.59.06.985 W022.36.34.153
                                         N063.59.06.809 W022.36.34.231
                                         N063.59.06.611 W022.36.34.489
                                         N063.59.06.424 W022.36.34.789
                                         N063.59.06.294 W022.36.35.231
                                         N063.59.06.178 W022.36.35.739
                                         N063.59.06.145 W022.36.36.410
                                         N063.59.06.142 W022.36.38.058
                                         N063.58.26.310 W022.36.16.632
                                         N063.58.27.142 W022.36.21.858
                                         N063.58.27.272 W022.36.22.615
                                         N063.58.27.483 W022.36.24.245
                                         N063.58.27.688 W022.36.26.134
                                         N063.58.27.695 W022.36.25.001
                                         N063.58.27.832 W022.36.24.029
                                         N063.58.28.003 W022.36.23.047
                                         N063.58.28.274 W022.36.21.975
                                         N063.58.28.717 W022.36.20.993
                                         N063.58.29.327 W022.36.20.232
                                         N063.58.29.999 W022.36.19.809
                                         N063.58.25.482 W022.36.19.816
                                         N063.58.25.801 W022.36.19.587
                                         N063.58.26.016 W022.36.19.315
                                         N063.58.26.189 W022.36.18.914
                                         N063.58.26.204 W022.36.18.874
                                         N063.58.26.349 W022.36.18.229
                                         N063.58.26.387 W022.36.17.778
                                         N063.58.26.371 W022.36.17.028
                                         N063.57.50.806 W022.36.23.267
                                         N063.57.52.234 W022.36.19.914
                                         N063.57.50.508 W022.36.21.719
                                         N063.57.51.289 W022.36.19.922
                                         N063.57.49.865 W022.36.21.003
                                         N063.57.50.333 W022.36.19.896
                                         N063.57.48.865 W022.36.21.031
                                         N063.57.49.358 W022.36.19.889
                                         N063.57.47.903 W022.36.21.019
                                         N063.57.48.398 W022.36.19.895
                                         N063.59.06.870 W022.35.31.610
                                         N063.59.06.156 W022.35.33.447
                                         N063.59.06.708 W022.35.29.799
                                         N063.59.06.129 W022.35.31.088
                                         N063.59.06.817 W022.39.23.835
                                         N063.59.06.102 W022.39.22.150
                                         N063.59.06.800 W022.39.21.565
                                         N063.59.06.095 W022.39.19.954
                                         N063.59.06.801 W022.39.19.348
                                         N063.59.06.096 W022.39.17.698
                                         N063.59.18.739 W022.37.46.255
                                         N063.59.38.093 W022.37.38.131
